"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"010-001","platform-admin","db/changelog/v1.0.0/010-create-platform-tables.xml","2026-08-22T08:55:53.669","1","EXECUTED","9:6652733b242bef62dfc399809b4bc4f9","createTable tableName=tenants; sql; sql","","","5.0.3","()","","7370953630"
"010-002","platform-admin","db/changelog/v1.0.0/010-create-platform-tables.xml","2026-08-22T08:55:53.675","2","EXECUTED","9:54977b578a34621612aad893bb5ef98f","createTable tableName=tenant_features; addPrimaryKey tableName=tenant_features; addForeignKeyConstraint baseTableName=tenant_features, constraintName=fk_tenant_features_tenant, referencedTableName=tenants","","","5.0.3","()","","7370953630"
"010-003","platform-admin","db/changelog/v1.0.0/010-create-platform-tables.xml","2026-08-22T08:55:53.678","3","EXECUTED","9:7ee6bc999a66c428d746c5baa59566ef","createTable tableName=platform_users; sql","","","5.0.3","()","","7370953630"
"010-004","platform-admin","db/changelog/v1.0.0/010-create-platform-tables.xml","2026-08-22T08:55:53.681","4","EXECUTED","9:4e467e76b0a33423859d425b0a6734a4","createTable tableName=usage_records","","","5.0.3","()","","7370953630"
"010-005","platform-admin","db/changelog/v1.0.0/010-create-platform-tables.xml","2026-08-22T08:55:53.683","5","EXECUTED","9:c654d1d92f9eb8e30730bcf6acaf64cf","createTable tableName=impersonation_log","","","5.0.3","()","","7370953630"
"platform-1.0.0-020-create-event-outbox","restaurantos-agent","db/changelog/v1.0.0/020-shared-infra-tables.xml","2026-08-22T08:55:53.689","6","EXECUTED","9:d435f885de62308533c867daf3a3aa89","createTable tableName=event_outbox; createIndex indexName=idx_platform_event_outbox_status_created, tableName=event_outbox","","","5.0.3","()","","7370953630"
"platform-1.0.0-020b-create-idempotency-keys","restaurantos-agent","db/changelog/v1.0.0/020-shared-infra-tables.xml","2026-08-22T08:55:53.692","7","EXECUTED","9:6393ff7b8763d8fc130d9d7fb2a304a7","createTable tableName=idempotency_keys; createIndex indexName=idx_platform_idempotency_expires_at, tableName=idempotency_keys","","","5.0.3","()","","7370953630"
"platform-1.0.0-020c-create-processed-events","restaurantos-agent","db/changelog/v1.0.0/020-shared-infra-tables.xml","2026-08-22T08:55:53.696","8","EXECUTED","9:d7ec3321f9df7cd920af800efe03a842","createTable tableName=processed_events; addPrimaryKey constraintName=pk_platform_processed_events, tableName=processed_events","","","5.0.3","()","","7370953630"
"030-001","platform-admin","db/changelog/v1.0.0/030-tenant-feature-override-flag.xml","2026-08-22T08:55:53.699","9","EXECUTED","9:a03a70e5bd8ce6231d2e906c7b97eef6","addColumn tableName=tenant_features","","","5.0.3","()","","7370953630"
"030-002","platform-admin","db/changelog/v1.0.0/030-tenant-feature-override-flag.xml","2026-08-22T08:55:53.701","10","EXECUTED","9:6a561a9e7845450872a1effeaa7459a4","addColumn tableName=tenants","","","5.0.3","()","","7370953630"
"040-001-platform-db-rls-posture-comment","restaurantos-agent","db/changelog/v1.0.0/040-platform-db-rls-posture.xml","2026-08-22T08:55:53.705","11","EXECUTED","9:74b9f7780967f3a49a48492998d81218","sql; sql; sql","","","5.0.3","()","","7370953630"
"040-002-impersonation-log-append-only-grants","restaurantos-agent","db/changelog/v1.0.0/040-platform-db-rls-posture.xml","2026-08-22T08:55:53.708","12","EXECUTED","9:27ad0904a0140bfc23c7d1d1c04ad582","sql; sql","","","5.0.3","()","","7370953630"
